Month,Weight_loss,FORECAST,STD,L95,U95,RESIDUAL
01AUG12,87,90.387342247,3.0083569336,84.491071004,96.283613489,-3.387342247
01SEP12,80,83.260022333,3.0083564081,77.363752121,89.156292546,-3.260022333
01OCT12,75,77.9316414,3.0083562284,72.035371539,83.82791126,-2.9316414
01NOV12,72,73.350946443,3.0083560408,67.45467695,79.247215936,-1.350946443
01DEC12,65,67.333069598,3.0083535897,61.436804909,73.229334286,-2.333069598
01JAN13,93,90.413125098,3.0083291701,84.516908271,96.309341925,2.5868749024
01FEB13,88,85.846663329,3.0081156013,79.950865089,91.742461569,2.153336671
01MAR13,87,88.560721595,3.0080919017,82.664969805,94.456473384,-1.560721595
01APR13,95,89.101582188,3.0080887182,83.205836638,94.997327738,5.8984178123
01MAY13,89,93.343695444,3.0080886917,87.447949946,99.239440942,-4.343695444
01JUN13,87,89.515441542,3.0080865824,83.619700178,95.411182906,-2.515441542
01JUL13,91,88.60730887,3.0080731037,82.711593924,94.503023817,2.3926911295
01AUG13,87,88.549358851,3.0080706508,82.653648712,94.445068989,-1.549358851
01SEP13,81,81.708717726,3.0080704424,75.813007996,87.604427457,-0.708717726
01OCT13,81,76.961561556,3.0080703721,71.065851964,82.857271149,4.0384384435
01NOV13,80,76.551141085,3.0080703002,70.655431633,82.446850536,3.4488589152
01DEC13,69,73.32266975,3.0080693565,67.426962148,79.218377352,-4.32266975
01JAN14,100,95.408983644,3.0080599509,89.513294476,101.30467281,4.5910163564
01FEB14,91,92.152644117,3.0079775964,86.257116362,98.048171872,-1.152644117
01MAR14,96,91.939701201,3.0079684566,86.044191359,97.835211042,4.0602987992
01APR14,95,98.568867934,3.007967229,92.673360499,104.46437537,-3.568867934
01MAY14,92,93.702914972,3.0079672188,87.807407557,99.598422388,-1.702914972
01JUN14,89,91.333511195,3.0079664055,85.438005374,97.229017017,-2.333511195
01JUL14,92,91.702010655,3.0079612083,85.80651502,97.59750629,0.2979893447
01AUG14,87,89.394613453,3.0079602624,83.499119671,95.290107234,-2.394613453
01SEP14,82,83.002786467,3.0079601819,77.107292844,88.898280091,-1.002786467
01OCT14,81,78.904753176,3.0079601548,73.009259606,84.800246746,2.0952468239
01NOV14,79,77.988301836,3.0079601271,72.09280832,83.883795352,1.0116981636
01DEC14,71,71.307670471,3.007959762,65.41217767,77.203163271,-0.307670471
01JAN15,100,98.372558591,3.0079561242,92.477072921,104.26804426,1.6274414087
01FEB15,91,92.306505553,3.0079243737,86.411082112,98.201928993,-1.306505553
01MAR15,95,94.536840895,3.0079208498,88.64142436,100.43225743,0.4631591055
01APR15,95,97.27643032,3.0079203765,91.381014714,103.17184593,-2.27643032
01MAY15,92,92.392689719,3.0079203726,86.49727412,98.288105317,-0.392689719
01JUN15,90,90.852819256,3.0079200592,84.957404272,96.748234241,-0.852819256
01JUL15,91,92.059840159,3.0079180546,86.164429103,97.955251214,-1.059840159
01AUG15,89,88.837043205,3.0079176897,82.941632865,94.732453546,0.1629567946
01SEP15,83,82.651441871,3.0079176587,76.756031591,88.54685215,0.3485581294
01OCT15,82,80.916034146,3.0079176482,75.020623887,86.811444405,1.0839658541
01NOV15,80,79.269207476,3.0079176375,73.373797238,85.164617714,0.7307925238
01DEC15,74,72.00924725,3.0079174967,66.113837288,77.904657212,1.9907527499
01JAN16,99,101.09157233,3.0079160936,95.196165123,106.98697955,-2.091572335
01FEB16,93,91.841843841,3.0078909592,85.946485891,97.73720179,1.1581561593
01MAR16,90,96.014522279,3.0078909592,90.119164329,101.90988023,-6.014522279
01APR16,94,93.37583076,3.0078909592,87.48047281,99.271188709,0.6241692404
01MAY16,91,90.996105871,3.0078909592,85.100747922,96.891463821,0.0038941289
01JUN16,86,89.125245174,3.0078909592,83.229887225,95.020603124,-3.125245174
01JUL16,87,88.50264933,3.0078909592,82.607291381,94.39800728,-1.50264933
01AUG16,85,84.88756336,3.0078909592,78.992205411,90.78292131,0.1124366396
01SEP16,80,78.880096485,3.0078909592,72.984738535,84.775454434,1.1199035153
01OCT16,73,78.131729942,3.0078909592,72.236371992,84.027087891,-5.131729942
01NOV16,74,72.557465273,3.0078909592,66.662107324,78.452823223,1.4425347268
01DEC16,67,66.201708094,3.0078909592,60.306350145,72.097066044,0.7982919058
01JAN17,94,93.774682827,3.0078909592,87.879324877,99.670040776,0.2253171733
